2022-05-27 14:13:48,761  root       INFO    [Console] [bot] [brain] - Loading aiml source brain
2022-05-27 14:13:48,761  root       INFO    [Console] [bot] [brain] - Loading collections
2022-05-27 14:13:48,761  root       DEBUG   Loading lookup [..\..\storage\lookups\denormal.txt]
2022-05-27 14:13:48,761  root       ERROR   Failed to load lookup [..\..\storage\lookups\denormal.txt] [[Errno 2] No such file or directory: '..\\..\\storage\\lookups\\denormal.txt']
2022-05-27 14:13:48,762  root       DEBUG   Loading lookup [..\..\storage\lookups\normal.txt]
2022-05-27 14:13:48,762  root       ERROR   Failed to load lookup [..\..\storage\lookups\normal.txt] [[Errno 2] No such file or directory: '..\\..\\storage\\lookups\\normal.txt']
2022-05-27 14:13:48,762  root       DEBUG   Loading lookup [..\..\storage\lookups\gender.txt]
2022-05-27 14:13:48,762  root       ERROR   Failed to load lookup [..\..\storage\lookups\gender.txt] [[Errno 2] No such file or directory: '..\\..\\storage\\lookups\\gender.txt']
2022-05-27 14:13:48,762  root       DEBUG   Loading lookup [..\..\storage\lookups\person.txt]
2022-05-27 14:13:48,762  root       ERROR   Failed to load lookup [..\..\storage\lookups\person.txt] [[Errno 2] No such file or directory: '..\\..\\storage\\lookups\\person.txt']
2022-05-27 14:13:48,762  root       DEBUG   Loading lookup [..\..\storage\lookups\person2.txt]
2022-05-27 14:13:48,762  root       ERROR   Failed to load lookup [..\..\storage\lookups\person2.txt] [[Errno 2] No such file or directory: '..\\..\\storage\\lookups\\person2.txt']
2022-05-27 14:13:48,762  root       DEBUG   Loading properties from [..\..\storage\properties\properties.txt]
2022-05-27 14:13:48,762  root       ERROR   Failed to load properties file [..\..\storage\properties\properties.txt] [[Errno 2] No such file or directory: '..\\..\\storage\\properties\\properties.txt']
2022-05-27 14:13:48,763  root       DEBUG   Emptying RDF Collection
2022-05-27 14:13:48,763  root       DEBUG   Loading RDF Collection
2022-05-27 14:13:48,763  root       ERROR   Failed to load set from storage [[WinError 3] The system cannot find the path specified: '..\\..\\storage\\sets']
2022-05-27 14:13:48,763  root       ERROR   Traceback (most recent call last):
Traceback (most recent call last):
  File "C:\Users\tedbot\AppData\Local\Programs\Python\Python37\lib\site-packages\programy\mappings\sets.py", line 88, in load
    self._load_collection(storage_engine)
  File "C:\Users\tedbot\AppData\Local\Programs\Python\Python37\lib\site-packages\programy\mappings\sets.py", line 82, in _load_collection
    sets_store.load_all(self)
  File "C:\Users\tedbot\AppData\Local\Programs\Python\Python37\lib\site-packages\programy\storage\stores\file\store\filestore.py", line 130, in load_all
    paths = os.listdir(col_dir)
FileNotFoundError: [WinError 3] The system cannot find the path specified: '..\\..\\storage\\sets'
2022-05-27 14:13:48,763  root       ERROR     File "C:\Users\tedbot\AppData\Local\Programs\Python\Python37\lib\site-packages\programy\mappings\sets.py", line 88, in load
    self._load_collection(storage_engine)
Traceback (most recent call last):
  File "C:\Users\tedbot\AppData\Local\Programs\Python\Python37\lib\site-packages\programy\mappings\sets.py", line 88, in load
    self._load_collection(storage_engine)
  File "C:\Users\tedbot\AppData\Local\Programs\Python\Python37\lib\site-packages\programy\mappings\sets.py", line 82, in _load_collection
    sets_store.load_all(self)
  File "C:\Users\tedbot\AppData\Local\Programs\Python\Python37\lib\site-packages\programy\storage\stores\file\store\filestore.py", line 130, in load_all
    paths = os.listdir(col_dir)
FileNotFoundError: [WinError 3] The system cannot find the path specified: '..\\..\\storage\\sets'
2022-05-27 14:13:48,764  root       ERROR     File "C:\Users\tedbot\AppData\Local\Programs\Python\Python37\lib\site-packages\programy\mappings\sets.py", line 82, in _load_collection
    sets_store.load_all(self)
Traceback (most recent call last):
  File "C:\Users\tedbot\AppData\Local\Programs\Python\Python37\lib\site-packages\programy\mappings\sets.py", line 88, in load
    self._load_collection(storage_engine)
  File "C:\Users\tedbot\AppData\Local\Programs\Python\Python37\lib\site-packages\programy\mappings\sets.py", line 82, in _load_collection
    sets_store.load_all(self)
  File "C:\Users\tedbot\AppData\Local\Programs\Python\Python37\lib\site-packages\programy\storage\stores\file\store\filestore.py", line 130, in load_all
    paths = os.listdir(col_dir)
FileNotFoundError: [WinError 3] The system cannot find the path specified: '..\\..\\storage\\sets'
2022-05-27 14:13:48,764  root       ERROR     File "C:\Users\tedbot\AppData\Local\Programs\Python\Python37\lib\site-packages\programy\storage\stores\file\store\filestore.py", line 130, in load_all
    paths = os.listdir(col_dir)
Traceback (most recent call last):
  File "C:\Users\tedbot\AppData\Local\Programs\Python\Python37\lib\site-packages\programy\mappings\sets.py", line 88, in load
    self._load_collection(storage_engine)
  File "C:\Users\tedbot\AppData\Local\Programs\Python\Python37\lib\site-packages\programy\mappings\sets.py", line 82, in _load_collection
    sets_store.load_all(self)
  File "C:\Users\tedbot\AppData\Local\Programs\Python\Python37\lib\site-packages\programy\storage\stores\file\store\filestore.py", line 130, in load_all
    paths = os.listdir(col_dir)
FileNotFoundError: [WinError 3] The system cannot find the path specified: '..\\..\\storage\\sets'
2022-05-27 14:13:48,764  root       ERROR   FileNotFoundError: [WinError 3] The system cannot find the path specified: '..\\..\\storage\\sets'
Traceback (most recent call last):
  File "C:\Users\tedbot\AppData\Local\Programs\Python\Python37\lib\site-packages\programy\mappings\sets.py", line 88, in load
    self._load_collection(storage_engine)
  File "C:\Users\tedbot\AppData\Local\Programs\Python\Python37\lib\site-packages\programy\mappings\sets.py", line 82, in _load_collection
    sets_store.load_all(self)
  File "C:\Users\tedbot\AppData\Local\Programs\Python\Python37\lib\site-packages\programy\storage\stores\file\store\filestore.py", line 130, in load_all
    paths = os.listdir(col_dir)
FileNotFoundError: [WinError 3] The system cannot find the path specified: '..\\..\\storage\\sets'
2022-05-27 14:13:48,764  root       ERROR   Failed to load map from storage [[WinError 3] The system cannot find the path specified: '..\\..\\storage\\maps']
2022-05-27 14:13:48,765  root       ERROR   Traceback (most recent call last):
Traceback (most recent call last):
  File "C:\Users\tedbot\AppData\Local\Programs\Python\Python37\lib\site-packages\programy\mappings\maps.py", line 70, in load
    self._load_collection(maps_store_engine)
  File "C:\Users\tedbot\AppData\Local\Programs\Python\Python37\lib\site-packages\programy\mappings\maps.py", line 64, in _load_collection
    maps_store.load_all(self)
  File "C:\Users\tedbot\AppData\Local\Programs\Python\Python37\lib\site-packages\programy\storage\stores\file\store\filestore.py", line 130, in load_all
    paths = os.listdir(col_dir)
FileNotFoundError: [WinError 3] The system cannot find the path specified: '..\\..\\storage\\maps'
2022-05-27 14:13:48,765  root       ERROR     File "C:\Users\tedbot\AppData\Local\Programs\Python\Python37\lib\site-packages\programy\mappings\maps.py", line 70, in load
    self._load_collection(maps_store_engine)
Traceback (most recent call last):
  File "C:\Users\tedbot\AppData\Local\Programs\Python\Python37\lib\site-packages\programy\mappings\maps.py", line 70, in load
    self._load_collection(maps_store_engine)
  File "C:\Users\tedbot\AppData\Local\Programs\Python\Python37\lib\site-packages\programy\mappings\maps.py", line 64, in _load_collection
    maps_store.load_all(self)
  File "C:\Users\tedbot\AppData\Local\Programs\Python\Python37\lib\site-packages\programy\storage\stores\file\store\filestore.py", line 130, in load_all
    paths = os.listdir(col_dir)
FileNotFoundError: [WinError 3] The system cannot find the path specified: '..\\..\\storage\\maps'
2022-05-27 14:13:48,765  root       ERROR     File "C:\Users\tedbot\AppData\Local\Programs\Python\Python37\lib\site-packages\programy\mappings\maps.py", line 64, in _load_collection
    maps_store.load_all(self)
Traceback (most recent call last):
  File "C:\Users\tedbot\AppData\Local\Programs\Python\Python37\lib\site-packages\programy\mappings\maps.py", line 70, in load
    self._load_collection(maps_store_engine)
  File "C:\Users\tedbot\AppData\Local\Programs\Python\Python37\lib\site-packages\programy\mappings\maps.py", line 64, in _load_collection
    maps_store.load_all(self)
  File "C:\Users\tedbot\AppData\Local\Programs\Python\Python37\lib\site-packages\programy\storage\stores\file\store\filestore.py", line 130, in load_all
    paths = os.listdir(col_dir)
FileNotFoundError: [WinError 3] The system cannot find the path specified: '..\\..\\storage\\maps'
2022-05-27 14:13:48,765  root       ERROR     File "C:\Users\tedbot\AppData\Local\Programs\Python\Python37\lib\site-packages\programy\storage\stores\file\store\filestore.py", line 130, in load_all
    paths = os.listdir(col_dir)
Traceback (most recent call last):
  File "C:\Users\tedbot\AppData\Local\Programs\Python\Python37\lib\site-packages\programy\mappings\maps.py", line 70, in load
    self._load_collection(maps_store_engine)
  File "C:\Users\tedbot\AppData\Local\Programs\Python\Python37\lib\site-packages\programy\mappings\maps.py", line 64, in _load_collection
    maps_store.load_all(self)
  File "C:\Users\tedbot\AppData\Local\Programs\Python\Python37\lib\site-packages\programy\storage\stores\file\store\filestore.py", line 130, in load_all
    paths = os.listdir(col_dir)
FileNotFoundError: [WinError 3] The system cannot find the path specified: '..\\..\\storage\\maps'
2022-05-27 14:13:48,766  root       ERROR   FileNotFoundError: [WinError 3] The system cannot find the path specified: '..\\..\\storage\\maps'
Traceback (most recent call last):
  File "C:\Users\tedbot\AppData\Local\Programs\Python\Python37\lib\site-packages\programy\mappings\maps.py", line 70, in load
    self._load_collection(maps_store_engine)
  File "C:\Users\tedbot\AppData\Local\Programs\Python\Python37\lib\site-packages\programy\mappings\maps.py", line 64, in _load_collection
    maps_store.load_all(self)
  File "C:\Users\tedbot\AppData\Local\Programs\Python\Python37\lib\site-packages\programy\storage\stores\file\store\filestore.py", line 130, in load_all
    paths = os.listdir(col_dir)
FileNotFoundError: [WinError 3] The system cannot find the path specified: '..\\..\\storage\\maps'
2022-05-27 14:13:48,766  root       DEBUG   Loading processors from file [..\..\storage\processing\preprocessors.conf]
2022-05-27 14:13:48,766  root       ERROR   Failed to load processors from storage [[Errno 2] No such file or directory: '..\\..\\storage\\processing\\preprocessors.conf']
2022-05-27 14:13:48,766  root       ERROR   Traceback (most recent call last):
Traceback (most recent call last):
  File "C:\Users\tedbot\AppData\Local\Programs\Python\Python37\lib\site-packages\programy\processors\processing.py", line 49, in load
    processor_store.load(self)
  File "C:\Users\tedbot\AppData\Local\Programs\Python\Python37\lib\site-packages\programy\storage\stores\file\store\filestore.py", line 148, in load
    self._load_file_contents(collector, col_storage.file)
  File "C:\Users\tedbot\AppData\Local\Programs\Python\Python37\lib\site-packages\programy\storage\stores\file\store\processors.py", line 52, in _load_file_contents
    with open(filename, "r", encoding="utf-8") as file:
FileNotFoundError: [Errno 2] No such file or directory: '..\\..\\storage\\processing\\preprocessors.conf'
2022-05-27 14:13:48,767  root       ERROR     File "C:\Users\tedbot\AppData\Local\Programs\Python\Python37\lib\site-packages\programy\processors\processing.py", line 49, in load
    processor_store.load(self)
Traceback (most recent call last):
  File "C:\Users\tedbot\AppData\Local\Programs\Python\Python37\lib\site-packages\programy\processors\processing.py", line 49, in load
    processor_store.load(self)
  File "C:\Users\tedbot\AppData\Local\Programs\Python\Python37\lib\site-packages\programy\storage\stores\file\store\filestore.py", line 148, in load
    self._load_file_contents(collector, col_storage.file)
  File "C:\Users\tedbot\AppData\Local\Programs\Python\Python37\lib\site-packages\programy\storage\stores\file\store\processors.py", line 52, in _load_file_contents
    with open(filename, "r", encoding="utf-8") as file:
FileNotFoundError: [Errno 2] No such file or directory: '..\\..\\storage\\processing\\preprocessors.conf'
2022-05-27 14:13:48,767  root       ERROR     File "C:\Users\tedbot\AppData\Local\Programs\Python\Python37\lib\site-packages\programy\storage\stores\file\store\filestore.py", line 148, in load
    self._load_file_contents(collector, col_storage.file)
Traceback (most recent call last):
  File "C:\Users\tedbot\AppData\Local\Programs\Python\Python37\lib\site-packages\programy\processors\processing.py", line 49, in load
    processor_store.load(self)
